run_id,score_1,score_2,abs_diff
summarization|sum_1|d2|p2|first,9,9,0
summarization|sum_2|d2|p0|first,7,7,0
summarization|sum_3|d2|p2|last,10,10,0
summarization|sum_1|d3|baseline,7,7,0
summarization|sum_3|d3|p1|first,8,8,0
summarization|sum_4|d3|p0|last,8,8,0
summarization|sum_0|d3|control|r2,9,9,0
summarization|sum_0|d4|p0|middle,9,8,1
summarization|sum_0|d4|p0|last,8,8,0
summarization|sum_1|d4|p2|first,9,9,0
summarization|sum_2|d4|p0|first,9,9,0
summarization|sum_3|d4|p1|first,8,8,0
summarization|sum_4|d4|p2|last,8,8,0
summarization|sum_0|d4|control|r2,8,8,0
code_review|cr_0|d1|p9|first,9,9,0
code_review|cr_2|d1|p1|first,7,7,0
code_review|cr_3|d1|p8|first,8,8,0
code_review|cr_4|d1|p5|first,8,8,0
code_review|cr_4|d1|p8|first,8,8,0
research_plan|rp_0|d1|p1|first,8,8,0
research_plan|rp_1|d1|p1|first,9,9,0
research_plan|rp_1|d1|p2|first,8,8,0
research_plan|rp_1|d1|p8|first,9,9,0
research_plan|rp_2|d1|p6|first,8,8,0
research_plan|rp_3|d1|p4|first,7,7,0
research_plan|rp_4|d1|p2|first,9,9,0
research_plan|rp_4|d1|p5|first,8,8,0
research_plan|rp_4|d1|p9|first,8,8,0
summarization|sum_1|d1|p7|first,7,7,0
summarization|sum_1|d1|p8|first,8,8,0
summarization|sum_2|d1|p3|first,10,10,0
summarization|sum_2|d1|p4|first,10,10,0
summarization|sum_4|d1|p4|first,9,9,0
code_review|cr_0|d2|p1|first,9,9,0
code_review|cr_1|d2|p6|first,9,9,0
code_review|cr_1|d2|p6|last,8,8,0
code_review|cr_1|d2|p7|last,8,8,0
code_review|cr_1|d2|p9|last,8,8,0
code_review|cr_2|d2|p0|first,6,6,0
code_review|cr_2|d2|p1|first,6,6,0
code_review|cr_3|d2|p0|last,8,8,0
code_review|cr_3|d2|p2|last,8,8,0
code_review|cr_3|d2|p9|last,8,8,0
code_review|cr_4|d2|p2|first,8,8,0
code_review|cr_4|d2|p3|first,8,7,1
code_review|cr_4|d2|p4|last,8,8,0
code_review|cr_4|d2|p7|last,8,8,0
research_plan|rp_1|d2|p3|first,9,9,0
research_plan|rp_1|d2|p4|first,9,9,0
research_plan|rp_1|d2|p2|last,8,8,0
research_plan|rp_2|d2|p4|first,9,9,0
research_plan|rp_2|d2|p7|first,9,9,0
research_plan|rp_2|d2|p0|last,7,7,0
research_plan|rp_2|d2|p4|last,9,9,0
research_plan|rp_2|d2|p5|last,9,8,1
research_plan|rp_2|d2|p7|last,9,9,0
research_plan|rp_2|d2|p9|last,9,9,0
research_plan|rp_3|d2|p1|first,9,9,0
research_plan|rp_3|d2|p9|first,9,8,1
research_plan|rp_3|d2|p8|first,9,9,0
research_plan|rp_4|d2|p8|last,9,9,0
research_plan|rp_4|d2|p9|last,9,9,0
research_plan|rp_0|d2|control|r0,8,8,0
research_plan|rp_0|d2|control|r2,8,8,0
summarization|sum_0|d2|p6|first,8,8,0
summarization|sum_0|d2|p3|last,7,7,0
summarization|sum_2|d2|p7|first,9,9,0
summarization|sum_2|d2|p4|last,9,9,0
summarization|sum_3|d2|p6|last,9,9,0
summarization|sum_4|d2|p3|last,8,8,0
code_review|cr_0|d3|p8|last,5,5,0
code_review|cr_1|d3|p0|first,8,8,0
code_review|cr_1|d3|p2|first,7,7,0
code_review|cr_1|d3|p5|first,7,7,0
code_review|cr_1|d3|p6|first,8,8,0
code_review|cr_1|d3|p2|middle,7,7,0
code_review|cr_1|d3|p1|middle,8,8,0
code_review|cr_2|d3|p1|middle,7,7,0
code_review|cr_2|d3|p5|middle,7,7,0
code_review|cr_2|d3|p6|middle,7,7,0
code_review|cr_3|d3|p6|first,6,6,0
code_review|cr_3|d3|p0|middle,9,9,0
code_review|cr_3|d3|p5|last,6,6,0
code_review|cr_3|d3|p7|last,7,7,0
code_review|cr_4|d3|p8|first,8,8,0
code_review|cr_4|d3|p9|first,8,8,0
code_review|cr_4|d3|p4|middle,7,7,0
code_review|cr_4|d3|p8|middle,7,7,0
code_review|cr_4|d3|p9|middle,7,7,0
code_review|cr_4|d3|p4|last,7,7,0
code_review|cr_4|d3|p7|last,5,5,0
code_review|cr_3|d4|p4|middle,7,7,0
code_review|cr_4|d4|p3|middle,9,9,0
code_review|cr_4|d4|p8|middle,9,9,0
research_plan|rp_0|d3|p0|first,8,8,0
research_plan|rp_0|d3|p6|middle,8,8,0
research_plan|rp_0|d3|p7|middle,8,8,0
research_plan|rp_1|d3|p1|first,8,8,0
research_plan|rp_1|d3|p3|first,8,8,0
research_plan|rp_1|d3|p4|first,8,8,0
research_plan|rp_1|d3|p6|first,8,8,0
research_plan|rp_1|d3|p8|first,8,8,0
research_plan|rp_1|d3|p7|last,8,8,0
research_plan|rp_2|d3|p0|first,9,9,0
research_plan|rp_2|d3|p0|middle,9,9,0
research_plan|rp_2|d3|p6|middle,8,8,0
research_plan|rp_2|d3|p6|last,8,8,0
research_plan|rp_2|d3|p9|last,8,8,0
research_plan|rp_3|d3|baseline,9,9,0
research_plan|rp_3|d3|p2|last,9,9,0
research_plan|rp_3|d3|p4|last,8,8,0
research_plan|rp_4|d3|p7|middle,8,8,0
research_plan|rp_4|d3|p7|last,8,8,0
research_plan|rp_0|d3|control|r1,8,8,0
summarization|sum_2|d3|p3|first,3,3,0
summarization|sum_2|d3|p8|middle,6,6,0
summarization|sum_3|d3|p5|middle,10,10,0
summarization|sum_3|d3|p6|middle,10,10,0
summarization|sum_3|d3|p7|middle,10,10,0
summarization|sum_3|d3|p6|last,10,10,0
summarization|sum_4|d3|p7|first,6,6,0
summarization|sum_4|d3|p3|middle,6,6,0
summarization|sum_4|d3|p7|middle,6,6,0
summarization|sum_4|d3|p3|last,8,8,0
code_review|cr_0|d4|p5|first,5,5,0
code_review|cr_0|d4|p1|middle,5,5,0
code_review|cr_0|d4|p3|middle,5,5,0
code_review|cr_0|d4|p0|last,7,7,0
code_review|cr_1|d4|p2|first,6,6,0
code_review|cr_1|d4|p5|first,9,9,0
code_review|cr_1|d4|p7|first,3,3,0
code_review|cr_1|d4|p2|last,8,9,1
code_review|cr_2|d4|p1|first,7,7,0
code_review|cr_2|d4|p3|first,7,7,0
code_review|cr_2|d4|p7|first,6,6,0
code_review|cr_2|d4|p9|first,9,9,0
code_review|cr_2|d4|p5|middle,5,5,0
code_review|cr_2|d4|p6|middle,6,6,0
code_review|cr_2|d4|p4|last,7,7,0
research_plan|rp_0|d4|p0|first,9,9,0
research_plan|rp_0|d4|p6|first,9,9,0
research_plan|rp_0|d4|p8|first,8,8,0
research_plan|rp_0|d4|p4|middle,9,9,0
research_plan|rp_0|d4|p9|middle,8,8,0
research_plan|rp_0|d4|p4|last,9,9,0
research_plan|rp_1|d4|p9|first,8,8,0
research_plan|rp_1|d4|p1|last,10,10,0
research_plan|rp_1|d4|p3|last,9,9,0
research_plan|rp_1|d4|p8|last,9,9,0
research_plan|rp_2|d4|baseline,9,9,0
research_plan|rp_2|d4|p6|first,9,9,0
research_plan|rp_2|d4|p5|middle,9,9,0
research_plan|rp_3|d4|p0|first,9,9,0
research_plan|rp_3|d4|p5|first,7,7,0
research_plan|rp_3|d4|p1|middle,7,7,0
research_plan|rp_3|d4|p5|middle,8,8,0
research_plan|rp_4|d4|p4|last,10,9,1
summarization|sum_1|d4|p3|middle,9,9,0
summarization|sum_2|d4|p4|first,8,8,0
summarization|sum_2|d4|p3|last,9,9,0
summarization|sum_3|d4|p9|first,10,10,0
summarization|sum_3|d4|p8|middle,10,10,0
summarization|sum_4|d4|p4|middle,8,8,0
summarization|sum_4|d4|p5|middle,8,8,0
